,Width,Height
850,275,301
851,300,168
852,201,250
853,236,262
854,236,243
855,220,275
856,200,252
857,225,225
858,225,225
859,350,350
860,417,424
861,416,512
862,200,252
863,208,248
864,336,380
865,1024,1024
866,630,630
867,442,442
868,201,250
869,442,442
870,393,400
871,235,227
872,1024,1024
873,236,218
874,850,872
875,225,225
876,728,725
877,201,250
878,232,217
879,227,300
880,225,225
881,442,442
882,409,442
883,225,225
884,225,225
885,222,252
886,232,217
887,225,225
888,605,613
889,236,236
890,225,225
891,215,234
892,300,168
893,236,251
894,225,225
895,655,602
896,225,225
897,220,275
898,196,257
899,630,630
900,442,442
901,225,225
902,225,225
903,225,225
904,504,540
905,200,252
906,234,218
907,1024,1024
908,300,168
909,233,222
910,442,442
911,630,630
912,442,454
913,630,630
914,235,214
915,200,252
916,236,236
917,236,263
918,235,227
919,442,442
920,300,168
921,350,350
922,504,540
923,212,280
924,227,222
925,420,280
926,528,528
927,225,225
928,236,243
929,236,251
930,236,213
931,825,832
932,314,258
933,225,225
934,512,512
935,300,168
936,655,602
937,630,630
938,207,225
939,225,225
940,234,224
941,447,251
942,512,512
943,225,225
944,227,222
945,225,225
946,201,251
947,300,168
948,550,664
949,411,501
950,236,243
951,600,450
952,235,215
953,228,221
954,150,198
955,442,442
956,225,225
957,442,442
958,428,417
959,236,250
960,1000,583
961,233,228
962,300,168
963,350,350
964,450,504
965,210,213
966,350,350
967,227,222
968,300,168
969,350,350
970,235,304
971,236,236
972,442,454
973,640,640
974,642,361
975,235,227
976,853,480
977,173,201
978,222,252
979,1280,720
980,442,454
981,755,824
982,504,540
983,220,275
984,512,512
985,416,512
986,234,234
987,300,168
988,400,442
989,218,231
990,428,417
991,409,442
992,262,244
993,300,168
994,652,600
995,236,236
996,150,198
997,468,444
998,512,512
999,442,442
1000,225,225
1001,236,262
1002,236,239
1003,236,366
1004,428,417
1005,236,294
1006,600,519
1007,926,649
1008,201,250
1009,630,630
1010,225,225
1011,400,442
1012,200,252
